	What is the highest grade in school that you have successfully completed?																									
How much money do you put aside every month? (in Rand)	0	0	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	10	11	11	12	12	Total	Total
	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N
Less Than R100	0%	0	0%	0	0%	0	0%	0	33%	1	17%	1	0%	0	0%	0	8%	1	32%	7	19%	11	9%	9	14%	30
R101 To R200	0%	0	25%	1	100%	1	100%	2	33%	1	50%	3	33%	1	43%	3	38%	5	9%	2	24%	14	29%	28	28%	61
R201 To R500	0%	0	75%	3	0%	0	0%	0	33%	1	17%	1	33%	1	14%	1	23%	3	41%	9	34%	20	34%	32	33%	71
R501 To R1000	100%	1	0%	0	0%	0	0%	0	0%	0	17%	1	33%	1	43%	3	15%	2	14%	3	17%	10	23%	22	20%	43
More Than R1000	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	15%	2	5%	1	5%	3	4%	4	5%	10
Total	100%	1	100%	4	100%	1	100%	2	100%	3	100%	6	100%	3	100%	7	100%	13	100%	22	100%	58	100%	95	100%	215

Pearson chi2(44) = 40.8945 Pr = 0.605																										

