	What best describes your approach to life?													
What best describes your approach to life?	I Live to survive day to day	I Live to survive day to day	I live for my family	I live for my family	I plan for the future	I plan for the future	I live for myself	I live for myself	I live only for now	I live only for now	Security and stability is everything	Security and stability is everything	Total	Total
	%	N	%	N	%	N	%	N	%	N	%	N	%	N
I Live to survive day to day	100%	13	0%	0	0%	0	0%	0	0%	0	0%	0	2%	13
I live for my family	0%	0	100%	300	0%	0	0%	0	0%	0	0%	0	57%	300
I plan for the future	0%	0	0%	0	100%	120	0%	0	0%	0	0%	0	23%	120
I live for myself	0%	0	0%	0	0%	0	100%	44	0%	0	0%	0	8%	44
I live only for now	0%	0	0%	0	0%	0	0%	0	100%	3	0%	0	1%	3
Security and stability is everything	0%	0	0%	0	0%	0	0%	0	0%	0	100%	44	8%	44
Total	100%	13	100%	300	100%	120	100%	44	100%	3	100%	44	100%	524

Pearson chi2(25) = 2620.0000 Pr = 0.000														

