	What is the highest grade in school that you have successfully completed?																											
What best describes your approach to life?	0	0	1	1	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	10	11	11	12	12	Total	Total
	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N
I Live to survive day to day	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	2%	1	2%	3	5%	9	2%	13
I live for my family	75%	9	86%	6	75%	6	100%	5	92%	12	80%	8	94%	15	80%	16	82%	18	72%	26	62%	37	51%	68	41%	74	57%	300
I plan for the future	17%	2	0%	0	12%	1	0%	0	8%	1	0%	0	0%	0	0%	0	14%	3	11%	4	20%	12	28%	38	33%	59	23%	120
I live for myself	0%	0	14%	1	12%	1	0%	0	0%	0	10%	1	0%	0	10%	2	5%	1	11%	4	10%	6	11%	15	7%	13	8%	44
I live only for now	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	1%	1	1%	2	1%	3
Security and stability is everything	8%	1	0%	0	0%	0	0%	0	0%	0	10%	1	6%	1	10%	2	0%	0	6%	2	7%	4	7%	9	13%	24	8%	44
Total	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	16	100%	20	100%	22	100%	36	100%	60	100%	134	100%	181	100%	524

Pearson chi2(60) = 82.2297 Pr = 0.030																												

