	What is the highest grade in school that you have successfully completed?																											
Strategy	0	0	1	1	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	10	11	11	12	12	Total	Total
	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N
Sub-optimal	45%	5	100%	1	83%	5	25%	1	73%	8	67%	6	44%	7	74%	14	58%	11	66%	21	54%	25	58%	64	55%	76	58%	244
Neutral	45%	5	0%	0	0%	0	0%	0	0%	0	22%	2	6%	1	11%	2	16%	3	3%	1	11%	5	13%	14	11%	15	11%	48
Optimal	9%	1	0%	0	17%	1	75%	3	27%	3	11%	1	50%	8	16%	3	26%	5	31%	10	35%	16	30%	33	34%	47	31%	131
Total	100%	11	100%	1	100%	6	100%	4	100%	11	100%	9	100%	16	100%	19	100%	19	100%	32	100%	46	100%	111	100%	138	100%	423

Pearson chi2(24) = 32.3005 Pr = 0.120																												

