	Age							
	18-29	18-29	30-39	30-39	40+	40+	Total	Total
	%	N	%	N	%	N	%	N
Bank								
No	56%	109	54%	73	66%	131	60%	313
Yes	44%	84	46%	62	34%	67	40%	213
Total	100%	193	100%	135	100%	198	100%	526

Pearson chi2(2) = 6.0280 Pr = 0.049								

Children								
No	74%	143	51%	69	60%	118	63%	330
Yes	26%	50	49%	66	40%	80	37%	196
Total	100%	193	100%	135	100%	198	100%	526

Pearson chi2(2) = 19.2880 Pr = 0.000								

Loss								
No	85%	164	76%	102	76%	150	79%	416
Yes	15%	29	24%	33	24%	48	21%	110
Total	100%	193	100%	135	100%	198	100%	526

Pearson chi2(2) = 6.3893 Pr = 0.041								

Food								
No	78%	150	73%	98	76%	151	76%	399
Yes	22%	43	27%	37	24%	47	24%	127
Total	100%	193	100%	135	100%	198	100%	526

Pearson chi2(2) = 1.1691 Pr = 0.557								

Petrol								
No	87%	167	84%	114	85%	169	86%	450
Yes	13%	26	16%	21	15%	29	14%	76
Total	100%	193	100%	135	100%	198	100%	526

Pearson chi2(2) = 0.2892 Pr = 0.865								

House								
No	97%	188	96%	129	95%	189	96%	506
Yes	3%	5	4%	6	5%	9	4%	20
Total	100%	193	100%	135	100%	198	100%	526

Pearson chi2(2) = 1.2258 Pr = 0.542								

Recession								
No	96%	185	97%	131	98%	194	97%	510
Yes	4%	8	3%	4	2%	4	3%	16
Total	100%	193	100%	135	100%	198	100%	526

Pearson chi2(2) = 1.5000 Pr = 0.472								

Insurance								
No	94%	181	71%	96	84%	167	84%	444
Yes	6%	12	29%	39	16%	31	16%	82
Total	100%	193	100%	135	100%	198	100%	526

Pearson chi2(2) = 31.0284 Pr = 0.000								

Relationship								
No	98%	189	99%	133	99%	197	99%	519
Yes	2%	4	1%	2	1%	1	1%	7
Total	100%	193	100%	135	100%	198	100%	526

Pearson chi2(2) = 1.8602 Pr = 0.395								

Job								
No	90%	173	84%	114	93%	184	90%	471
Yes	10%	20	16%	21	7%	14	10%	55
Total	100%	193	100%	135	100%	198	100%	526

Pearson chi2(2) = 6.1749 Pr = 0.046								

Mobile Money								
No	98%	190	100%	135	99%	196	99%	521
Yes	2%	3	0%	0	1%	2	1%	5
Total	100%	193	100%	135	100%	198	100%	526

Pearson chi2(2) = 2.0504 Pr = 0.359								

Stokvel								
No	87%	168	70%	94	79%	156	79%	418
Yes	13%	25	30%	41	21%	42	21%	108
Total	100%	193	100%	135	100%	198	100%	526

Pearson chi2(2) = 14.8584 Pr = 0.001								

Lotto								
No	100%	193	99%	134	99%	197	100%	524
Yes	0%	0	1%	1	1%	1	0%	2
Total	100%	193	100%	135	100%	198	100%	526

Pearson chi2(2) = 1.2813 Pr = 0.527								

Gift								
No	99%	191	100%	135	99%	197	99%	523
Yes	1%	2	0%	0	1%	1	1%	3
Total	100%	193	100%	135	100%	198	100%	526

Pearson chi2(2) = 1.5281 Pr = 0.466								

None								
No	81%	156	93%	126	86%	171	86%	453
Yes	19%	37	7%	9	14%	27	14%	73
Total	100%	193	100%	135	100%	198	100%	526

Pearson chi2(2) = 10.4073 Pr = 0.005								

