	What is the highest grade in school that you have successfully completed?																											
	0	0	1	1	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	10	11	11	12	12	Total	Total
	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N
Bank																												
No	83%	10	100%	7	62%	5	60%	3	77%	10	70%	7	76%	13	58%	11	78%	18	69%	25	68%	41	53%	71	51%	92	60%	313
Yes	17%	2	0%	0	38%	3	40%	2	23%	3	30%	3	24%	4	42%	8	22%	5	31%	11	32%	19	47%	64	49%	89	40%	213
Total	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	17	100%	19	100%	23	100%	36	100%	60	100%	135	100%	181	100%	526

Pearson chi2(12) = 26.8724 Pr = 0.008																												

Children																												
No	42%	5	86%	6	88%	7	100%	5	69%	9	50%	5	65%	11	53%	10	52%	12	58%	21	67%	40	60%	81	65%	118	63%	330
Yes	58%	7	14%	1	12%	1	0%	0	31%	4	50%	5	35%	6	47%	9	48%	11	42%	15	33%	20	40%	54	35%	63	37%	196
Total	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	17	100%	19	100%	23	100%	36	100%	60	100%	135	100%	181	100%	526

Pearson chi2(12) = 13.4071 Pr = 0.340																												

Loss																												
No	58%	7	100%	7	88%	7	100%	5	100%	13	60%	6	76%	13	74%	14	74%	17	75%	27	78%	47	75%	101	84%	152	79%	416
Yes	42%	5	0%	0	12%	1	0%	0	0%	0	40%	4	24%	4	26%	5	26%	6	25%	9	22%	13	25%	34	16%	29	21%	110
Total	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	17	100%	19	100%	23	100%	36	100%	60	100%	135	100%	181	100%	526

Pearson chi2(12) = 17.5507 Pr = 0.130																												

Food																												
No	75%	9	86%	6	50%	4	100%	5	85%	11	80%	8	76%	13	74%	14	74%	17	72%	26	78%	47	76%	102	76%	137	76%	399
Yes	25%	3	14%	1	50%	4	0%	0	15%	2	20%	2	24%	4	26%	5	26%	6	28%	10	22%	13	24%	33	24%	44	24%	127
Total	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	17	100%	19	100%	23	100%	36	100%	60	100%	135	100%	181	100%	526

Pearson chi2(12) = 6.0960 Pr = 0.911																												

Petrol																												
No	100%	12	100%	7	75%	6	100%	5	92%	12	90%	9	88%	15	79%	15	78%	18	78%	28	85%	51	87%	117	86%	155	86%	450
Yes	0%	0	0%	0	25%	2	0%	0	8%	1	10%	1	12%	2	21%	4	22%	5	22%	8	15%	9	13%	18	14%	26	14%	76
Total	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	17	100%	19	100%	23	100%	36	100%	60	100%	135	100%	181	100%	526

Pearson chi2(12) = 9.0840 Pr = 0.696																												

House																												
No	100%	12	100%	7	88%	7	80%	4	92%	12	90%	9	100%	17	95%	18	100%	23	89%	32	100%	60	97%	131	96%	174	96%	506
Yes	0%	0	0%	0	12%	1	20%	1	8%	1	10%	1	0%	0	5%	1	0%	0	11%	4	0%	0	3%	4	4%	7	4%	20
Total	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	17	100%	19	100%	23	100%	36	100%	60	100%	135	100%	181	100%	526

Pearson chi2(12) = 17.1632 Pr = 0.144																												

Recession																												
No	100%	12	100%	7	100%	8	100%	5	92%	12	100%	10	94%	16	95%	18	100%	23	97%	35	98%	59	97%	131	96%	174	97%	510
Yes	0%	0	0%	0	0%	0	0%	0	8%	1	0%	0	6%	1	5%	1	0%	0	3%	1	2%	1	3%	4	4%	7	3%	16
Total	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	17	100%	19	100%	23	100%	36	100%	60	100%	135	100%	181	100%	526

Pearson chi2(12) = 4.5898 Pr = 0.970																												

Insurance																												
No	92%	11	100%	7	62%	5	100%	5	77%	10	80%	8	88%	15	79%	15	87%	20	89%	32	92%	55	87%	117	80%	144	84%	444
Yes	8%	1	0%	0	38%	3	0%	0	23%	3	20%	2	12%	2	21%	4	13%	3	11%	4	8%	5	13%	18	20%	37	16%	82
Total	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	17	100%	19	100%	23	100%	36	100%	60	100%	135	100%	181	100%	526

Pearson chi2(12) = 13.7603 Pr = 0.316																												

Relationship																												
No	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	17	100%	19	100%	23	100%	36	98%	59	99%	134	97%	176	99%	519
Yes	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	2%	1	1%	1	3%	5	1%	7
Total	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	17	100%	19	100%	23	100%	36	100%	60	100%	135	100%	181	100%	526

Pearson chi2(12) = 5.2578 Pr = 0.949																												

Job																												
No	92%	11	100%	7	88%	7	100%	5	85%	11	80%	8	94%	16	100%	19	96%	22	94%	34	93%	56	90%	122	85%	153	90%	471
Yes	8%	1	0%	0	12%	1	0%	0	15%	2	20%	2	6%	1	0%	0	4%	1	6%	2	7%	4	10%	13	15%	28	10%	55
Total	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	17	100%	19	100%	23	100%	36	100%	60	100%	135	100%	181	100%	526

Pearson chi2(12) = 13.1209 Pr = 0.360																												

Mobile Money																												
No	100%	12	100%	7	100%	8	100%	5	92%	12	100%	10	100%	17	100%	19	100%	23	100%	36	98%	59	99%	134	99%	179	99%	521
Yes	0%	0	0%	0	0%	0	0%	0	8%	1	0%	0	0%	0	0%	0	0%	0	0%	0	2%	1	1%	1	1%	2	1%	5
Total	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	17	100%	19	100%	23	100%	36	100%	60	100%	135	100%	181	100%	526

Pearson chi2(12) = 8.0261 Pr = 0.783																												

Stokvel																												
No	92%	11	86%	6	62%	5	100%	5	85%	11	70%	7	65%	11	74%	14	78%	18	78%	28	85%	51	83%	112	77%	139	79%	418
Yes	8%	1	14%	1	38%	3	0%	0	15%	2	30%	3	35%	6	26%	5	22%	5	22%	8	15%	9	17%	23	23%	42	21%	108
Total	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	17	100%	19	100%	23	100%	36	100%	60	100%	135	100%	181	100%	526

Pearson chi2(12) = 10.3976 Pr = 0.581																												

Lotto																												
No	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	17	100%	19	100%	23	100%	36	100%	60	100%	135	99%	179	100%	524
Yes	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	1%	2	0%	2
Total	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	17	100%	19	100%	23	100%	36	100%	60	100%	135	100%	181	100%	526

Pearson chi2(12) = 3.8267 Pr = 0.986																												

Gift																												
No	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	17	100%	19	100%	23	100%	36	98%	59	100%	135	99%	179	99%	523
Yes	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	2%	1	0%	0	1%	2	1%	3
Total	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	17	100%	19	100%	23	100%	36	100%	60	100%	135	100%	181	100%	526

Pearson chi2(12) = 3.8188 Pr = 0.986																												

None																												
No	100%	12	14%	1	75%	6	60%	3	85%	11	100%	10	88%	15	84%	16	70%	16	78%	28	83%	50	87%	118	92%	167	86%	453
Yes	0%	0	86%	6	25%	2	40%	2	15%	2	0%	0	12%	2	16%	3	30%	7	22%	8	17%	10	13%	17	8%	14	14%	73
Total	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	17	100%	19	100%	23	100%	36	100%	60	100%	135	100%	181	100%	526

Pearson chi2(12) = 51.2610 Pr = 0.000																												

