	Employment							
	Formal	Formal	Informal	Informal	Unemployed	Unemployed	Total	Total
	%	N	%	N	%	N	%	N
Bank								
No	51%	56	55%	57	64%	200	60%	313
Yes	49%	54	45%	46	36%	113	40%	213
Total	100%	110	100%	103	100%	313	100%	526

Pearson chi2(2) = 6.6211 Pr = 0.036								

Children								
No	53%	58	63%	65	66%	207	63%	330
Yes	47%	52	37%	38	34%	106	37%	196
Total	100%	110	100%	103	100%	313	100%	526

Pearson chi2(2) = 6.2658 Pr = 0.044								

Loss								
No	77%	85	85%	88	78%	243	79%	416
Yes	23%	25	15%	15	22%	70	21%	110
Total	100%	110	100%	103	100%	313	100%	526

Pearson chi2(2) = 3.1285 Pr = 0.209								

Food								
No	75%	83	80%	82	75%	234	76%	399
Yes	25%	27	20%	21	25%	79	24%	127
Total	100%	110	100%	103	100%	313	100%	526

Pearson chi2(2) = 1.0081 Pr = 0.604								

Petrol								
No	85%	94	89%	92	84%	264	86%	450
Yes	15%	16	11%	11	16%	49	14%	76
Total	100%	110	100%	103	100%	313	100%	526

Pearson chi2(2) = 1.5530 Pr = 0.460								

House								
No	94%	103	98%	101	96%	302	96%	506
Yes	6%	7	2%	2	4%	11	4%	20
Total	100%	110	100%	103	100%	313	100%	526

Pearson chi2(2) = 3.0187 Pr = 0.221								

Recession								
No	95%	104	97%	100	98%	306	97%	510
Yes	5%	6	3%	3	2%	7	3%	16
Total	100%	110	100%	103	100%	313	100%	526

Pearson chi2(2) = 2.8654 Pr = 0.239								

Insurance								
No	76%	84	80%	82	89%	278	84%	444
Yes	24%	26	20%	21	11%	35	16%	82
Total	100%	110	100%	103	100%	313	100%	526

Pearson chi2(2) = 11.8358 Pr = 0.003								

Relationship								
No	98%	108	99%	102	99%	309	99%	519
Yes	2%	2	1%	1	1%	4	1%	7
Total	100%	110	100%	103	100%	313	100%	526

Pearson chi2(2) = 0.3073 Pr = 0.858								

Job								
No	76%	84	93%	96	93%	291	90%	471
Yes	24%	26	7%	7	7%	22	10%	55
Total	100%	110	100%	103	100%	313	100%	526

Pearson chi2(2) = 25.8098 Pr = 0.000								

Mobile Money								
No	98%	108	99%	102	99%	311	99%	521
Yes	2%	2	1%	1	1%	2	1%	5
Total	100%	110	100%	103	100%	313	100%	526

Pearson chi2(2) = 1.2027 Pr = 0.548								

Stokvel								
No	73%	80	73%	75	84%	263	79%	418
Yes	27%	30	27%	28	16%	50	21%	108
Total	100%	110	100%	103	100%	313	100%	526

Pearson chi2(2) = 9.8414 Pr = 0.007								

Lotto								
No	99%	109	100%	103	100%	312	100%	524
Yes	1%	1	0%	0	0%	1	0%	2
Total	100%	110	100%	103	100%	313	100%	526

Pearson chi2(2) = 1.2359 Pr = 0.539								

Gift								
No	100%	110	100%	103	99%	310	99%	523
Yes	0%	0	0%	0	1%	3	1%	3
Total	100%	110	100%	103	100%	313	100%	526

Pearson chi2(2) = 2.0532 Pr = 0.358								

None								
No	98%	108	87%	90	81%	255	86%	453
Yes	2%	2	13%	13	19%	58	14%	73
Total	100%	110	100%	103	100%	313	100%	526

Pearson chi2(2) = 19.1894 Pr = 0.000								

