	Which of these two statements applies best to you?					
	Save	Save	Spend	Spend	Total	Total
	%	N	%	N	%	N
Bank						
No	58%	206	63%	107	60%	313
Yes	42%	148	37%	63	40%	211
Total	100%	354	100%	170	100%	524

Pearson chi2(1) = 1.0769 Pr = 0.299						

Children						
No	58%	204	73%	124	63%	328
Yes	42%	150	27%	46	37%	196
Total	100%	354	100%	170	100%	524

Pearson chi2(1) = 11.5036 Pr = 0.001						

Loss						
No	75%	267	88%	149	79%	416
Yes	25%	87	12%	21	21%	108
Total	100%	354	100%	170	100%	524

Pearson chi2(1) = 10.4869 Pr = 0.001						

Food						
No	75%	264	79%	135	76%	399
Yes	25%	90	21%	35	24%	125
Total	100%	354	100%	170	100%	524

Pearson chi2(1) = 1.4784 Pr = 0.224						

Petrol						
No	85%	302	86%	146	85%	448
Yes	15%	52	14%	24	15%	76
Total	100%	354	100%	170	100%	524

Pearson chi2(1) = 0.0303 Pr = 0.862						

House						
No	95%	336	99%	168	96%	504
Yes	5%	18	1%	2	4%	20
Total	100%	354	100%	170	100%	524

Pearson chi2(1) = 4.7785 Pr = 0.029						

Recession						
No	97%	343	97%	165	97%	508
Yes	3%	11	3%	5	3%	16
Total	100%	354	100%	170	100%	524

Pearson chi2(1) = 0.0107 Pr = 0.918						

Insurance						
No	84%	299	84%	143	84%	442
Yes	16%	55	16%	27	16%	82
Total	100%	354	100%	170	100%	524

Pearson chi2(1) = 0.0104 Pr = 0.919						

Relationship						
No	98%	347	100%	170	99%	517
Yes	2%	7	0%	0	1%	7
Total	100%	354	100%	170	100%	524

Pearson chi2(1) = 3.4071 Pr = 0.065						

Job						
No	87%	309	94%	160	90%	469
Yes	13%	45	6%	10	10%	55
Total	100%	354	100%	170	100%	524

Pearson chi2(1) = 5.7020 Pr = 0.017						

Mobile Money						
No	99%	349	100%	170	99%	519
Yes	1%	5	0%	0	1%	5
Total	100%	354	100%	170	100%	524

Pearson chi2(1) = 2.4243 Pr = 0.119						

Stokvel						
No	79%	281	81%	137	80%	418
Yes	21%	73	19%	33	20%	106
Total	100%	354	100%	170	100%	524

Pearson chi2(1) = 0.1042 Pr = 0.747						

Lotto						
No	100%	353	99%	169	100%	522
Yes	0%	1	1%	1	0%	2
Total	100%	354	100%	170	100%	524

Pearson chi2(1) = 0.2824 Pr = 0.595						

Gift						
No	99%	352	99%	169	99%	521
Yes	1%	2	1%	1	1%	3
Total	100%	354	100%	170	100%	524

Pearson chi2(1) = 0.0011 Pr = 0.974						

None						
No	93%	328	72%	123	86%	451
Yes	7%	26	28%	47	14%	73
Total	100%	354	100%	170	100%	524

Pearson chi2(1) = 39.4803 Pr = 0.000						

