	Age							
	18-29	18-29	30-39	30-39	40+	40+	Total	Total
	%	N	%	N	%	N	%	N
Business								
No	96%	95	97%	83	95%	69	96%	247
Yes	4%	4	3%	3	5%	4	4%	11
Total	100%	99	100%	86	100%	73	100%	258

Pearson chi2(2) = 0.4031 Pr = 0.817								

Funeral								
No	72%	71	53%	46	59%	43	62%	160
Yes	28%	28	47%	40	41%	30	38%	98
Total	100%	99	100%	86	100%	73	100%	258

Pearson chi2(2) = 6.9103 Pr = 0.032								

House								
No	94%	93	83%	71	96%	70	91%	234
Yes	6%	6	17%	15	4%	3	9%	24
Total	100%	99	100%	86	100%	73	100%	258

Pearson chi2(2) = 10.3194 Pr = 0.006								

Education								
No	63%	62	45%	39	53%	39	54%	140
Yes	37%	37	55%	47	47%	34	46%	118
Total	100%	99	100%	86	100%	73	100%	258

Pearson chi2(2) = 5.5643 Pr = 0.062								

Emergency								
No	36%	36	28%	24	22%	16	29%	76
Yes	64%	63	72%	62	78%	57	71%	182
Total	100%	99	100%	86	100%	73	100%	258

Pearson chi2(2) = 4.3688 Pr = 0.113								

Startup								
No	93%	92	92%	79	93%	68	93%	239
Yes	7%	7	8%	7	7%	5	7%	19
Total	100%	99	100%	86	100%	73	100%	258

Pearson chi2(2) = 0.1167 Pr = 0.943								

Extend								
No	81%	80	77%	66	75%	55	78%	201
Yes	19%	19	23%	20	25%	18	22%	57
Total	100%	99	100%	86	100%	73	100%	258

Pearson chi2(2) = 0.8306 Pr = 0.660								

Skills								
No	74%	73	84%	72	99%	72	84%	217
Yes	26%	26	16%	14	1%	1	16%	41
Total	100%	99	100%	86	100%	73	100%	258

Pearson chi2(2) = 19.4937 Pr = 0.000								

Food								
No	49%	49	34%	29	37%	27	41%	105
Yes	51%	50	66%	57	63%	46	59%	153
Total	100%	99	100%	86	100%	73	100%	258

Pearson chi2(2) = 5.3257 Pr = 0.070								

Debt								
No	79%	78	53%	46	68%	50	67%	174
Yes	21%	21	47%	40	32%	23	33%	84
Total	100%	99	100%	86	100%	73	100%	258

Pearson chi2(2) = 13.4664 Pr = 0.001								

Gold								
No	99%	98	99%	85	100%	73	99%	256
Yes	1%	1	1%	1	0%	0	1%	2
Total	100%	99	100%	86	100%	73	100%	258

Pearson chi2(2) = 0.8093 Pr = 0.667								

Repairs								
No	83%	82	66%	57	62%	45	71%	184
Yes	17%	17	34%	29	38%	28	29%	74
Total	100%	99	100%	86	100%	73	100%	258

Pearson chi2(2) = 10.8195 Pr = 0.004								

School								
No	72%	71	48%	41	38%	28	54%	140
Yes	28%	28	52%	45	62%	45	46%	118
Total	100%	99	100%	86	100%	73	100%	258

Pearson chi2(2) = 21.0992 Pr = 0.000								

Medical								
No	99%	98	97%	83	96%	70	97%	251
Yes	1%	1	3%	3	4%	3	3%	7
Total	100%	99	100%	86	100%	73	100%	258

Pearson chi2(2) = 1.8229 Pr = 0.402								

Lobola								
No	96%	95	94%	81	96%	70	95%	246
Yes	4%	4	6%	5	4%	3	5%	12
Total	100%	99	100%	86	100%	73	100%	258

Pearson chi2(2) = 0.3937 Pr = 0.821								

Wedding								
No	98%	97	97%	83	97%	71	97%	251
Yes	2%	2	3%	3	3%	2	3%	7
Total	100%	99	100%	86	100%	73	100%	258

Pearson chi2(2) = 0.3761 Pr = 0.829								

Rent								
No	99%	98	99%	85	100%	73	99%	256
Yes	1%	1	1%	1	0%	0	1%	2
Total	100%	99	100%	86	100%	73	100%	258

Pearson chi2(2) = 0.8093 Pr = 0.667								

