	What best describes your approach to life?													
	Day To Day	Day To Day	Family	Family	Future	Future	Myself	Myself	Now	Now	Security	Security	Total	Total
	%	N	%	N	%	N	%	N	%	N	%	N	%	N
Business														
No	100%	7	95%	128	95%	69	100%	17	100%	1	100%	24	96%	246
Yes	0%	0	5%	7	5%	4	0%	0	0%	0	0%	0	4%	11
Total	100%	7	100%	135	100%	73	100%	17	100%	1	100%	24	100%	257

Pearson chi2(5) = 2.7172 Pr = 0.743														

Funeral														
No	57%	4	55%	74	75%	55	71%	12	100%	1	58%	14	62%	160
Yes	43%	3	45%	61	25%	18	29%	5	0%	0	42%	10	38%	97
Total	100%	7	100%	135	100%	73	100%	17	100%	1	100%	24	100%	257

Pearson chi2(5) = 9.8452 Pr = 0.080														

House														
No	100%	7	90%	121	89%	65	94%	16	100%	1	96%	23	91%	233
Yes	0%	0	10%	14	11%	8	6%	1	0%	0	4%	1	9%	24
Total	100%	7	100%	135	100%	73	100%	17	100%	1	100%	24	100%	257

Pearson chi2(5) = 2.2183 Pr = 0.818														

Education														
No	57%	4	51%	69	53%	39	82%	14	100%	1	50%	12	54%	139
Yes	43%	3	49%	66	47%	34	18%	3	0%	0	50%	12	46%	118
Total	100%	7	100%	135	100%	73	100%	17	100%	1	100%	24	100%	257

Pearson chi2(5) = 7.0004 Pr = 0.221														

Emergency														
No	57%	4	19%	26	37%	27	24%	4	100%	1	58%	14	30%	76
Yes	43%	3	81%	109	63%	46	76%	13	0%	0	42%	10	70%	181
Total	100%	7	100%	135	100%	73	100%	17	100%	1	100%	24	100%	257

Pearson chi2(5) = 23.5875 Pr = 0.000														

Startup														
No	100%	7	94%	127	89%	65	94%	16	100%	1	92%	22	93%	238
Yes	0%	0	6%	8	11%	8	6%	1	0%	0	8%	2	7%	19
Total	100%	7	100%	135	100%	73	100%	17	100%	1	100%	24	100%	257

Pearson chi2(5) = 2.5065 Pr = 0.776														

Extend														
No	71%	5	76%	103	79%	58	76%	13	100%	1	83%	20	78%	200
Yes	29%	2	24%	32	21%	15	24%	4	0%	0	17%	4	22%	57
Total	100%	7	100%	135	100%	73	100%	17	100%	1	100%	24	100%	257

Pearson chi2(5) = 1.1856 Pr = 0.946														

Skills														
No	71%	5	86%	116	78%	57	100%	17	100%	1	83%	20	84%	216
Yes	29%	2	14%	19	22%	16	0%	0	0%	0	17%	4	16%	41
Total	100%	7	100%	135	100%	73	100%	17	100%	1	100%	24	100%	257

Pearson chi2(5) = 6.5494 Pr = 0.256														

Food														
No	57%	4	30%	40	55%	40	24%	4	0%	0	71%	17	41%	105
Yes	43%	3	70%	95	45%	33	76%	13	100%	1	29%	7	59%	152
Total	100%	7	100%	135	100%	73	100%	17	100%	1	100%	24	100%	257

Pearson chi2(5) = 25.4073 Pr = 0.000														

Debt														
No	86%	6	61%	83	73%	53	59%	10	100%	1	88%	21	68%	174
Yes	14%	1	39%	52	27%	20	41%	7	0%	0	12%	3	32%	83
Total	100%	7	100%	135	100%	73	100%	17	100%	1	100%	24	100%	257

Pearson chi2(5) = 9.6217 Pr = 0.087														

Gold														
No	100%	7	99%	134	100%	73	94%	16	100%	1	100%	24	99%	255
Yes	0%	0	1%	1	0%	0	6%	1	0%	0	0%	0	1%	2
Total	100%	7	100%	135	100%	73	100%	17	100%	1	100%	24	100%	257

Pearson chi2(5) = 6.5617 Pr = 0.255														

Repairs														
No	86%	6	58%	78	92%	67	71%	12	100%	1	83%	20	72%	184
Yes	14%	1	42%	57	8%	6	29%	5	0%	0	17%	4	28%	73
Total	100%	7	100%	135	100%	73	100%	17	100%	1	100%	24	100%	257

Pearson chi2(5) = 30.0177 Pr = 0.000														

School														
No	86%	6	46%	62	58%	42	71%	12	100%	1	71%	17	54%	140
Yes	14%	1	54%	73	42%	31	29%	5	0%	0	29%	7	46%	117
Total	100%	7	100%	135	100%	73	100%	17	100%	1	100%	24	100%	257

Pearson chi2(5) = 12.2137 Pr = 0.032														

Medical														
No	86%	6	99%	133	96%	70	100%	17	100%	1	96%	23	97%	250
Yes	14%	1	1%	2	4%	3	0%	0	0%	0	4%	1	3%	7
Total	100%	7	100%	135	100%	73	100%	17	100%	1	100%	24	100%	257

Pearson chi2(5) = 5.5398 Pr = 0.354														

Lobola														
No	100%	7	95%	128	95%	69	94%	16	100%	1	100%	24	95%	245
Yes	0%	0	5%	7	5%	4	6%	1	0%	0	0%	0	5%	12
Total	100%	7	100%	135	100%	73	100%	17	100%	1	100%	24	100%	257

Pearson chi2(5) = 1.8119 Pr = 0.875														

Wedding														
No	100%	7	96%	129	99%	72	100%	17	100%	1	100%	24	97%	250
Yes	0%	0	4%	6	1%	1	0%	0	0%	0	0%	0	3%	7
Total	100%	7	100%	135	100%	73	100%	17	100%	1	100%	24	100%	257

Pearson chi2(5) = 3.3856 Pr = 0.641														

Rent														
No	100%	7	100%	135	99%	72	100%	17	100%	1	96%	23	99%	255
Yes	0%	0	0%	0	1%	1	0%	0	0%	0	4%	1	1%	2
Total	100%	7	100%	135	100%	73	100%	17	100%	1	100%	24	100%	257

Pearson chi2(5) = 5.1546 Pr = 0.397														

