	Employment							
	Formal	Formal	Informal	Informal	Unemployed	Unemployed	Total	Total
	%	N	%	N	%	N	%	N
Business								
No	95%	75	88%	50	100%	122	96%	247
Yes	5%	4	12%	7	0%	0	4%	11
Total	100%	79	100%	57	100%	122	100%	258

Pearson chi2(2) = 14.5326 Pr = 0.001								

Funeral								
No	58%	46	65%	37	63%	77	62%	160
Yes	42%	33	35%	20	37%	45	38%	98
Total	100%	79	100%	57	100%	122	100%	258

Pearson chi2(2) = 0.7468 Pr = 0.688								

House								
No	85%	67	95%	54	93%	113	91%	234
Yes	15%	12	5%	3	7%	9	9%	24
Total	100%	79	100%	57	100%	122	100%	258

Pearson chi2(2) = 4.8839 Pr = 0.087								

Education								
No	42%	33	61%	35	59%	72	54%	140
Yes	58%	46	39%	22	41%	50	46%	118
Total	100%	79	100%	57	100%	122	100%	258

Pearson chi2(2) = 7.2481 Pr = 0.027								

Emergency								
No	30%	24	30%	17	29%	35	29%	76
Yes	70%	55	70%	40	71%	87	71%	182
Total	100%	79	100%	57	100%	122	100%	258

Pearson chi2(2) = 0.0707 Pr = 0.965								

Startup								
No	90%	71	95%	54	93%	114	93%	239
Yes	10%	8	5%	3	7%	8	7%	19
Total	100%	79	100%	57	100%	122	100%	258

Pearson chi2(2) = 1.3689 Pr = 0.504								

Extend								
No	73%	58	81%	46	80%	97	78%	201
Yes	27%	21	19%	11	20%	25	22%	57
Total	100%	79	100%	57	100%	122	100%	258

Pearson chi2(2) = 1.3654 Pr = 0.505								

Skills								
No	84%	66	93%	53	80%	98	84%	217
Yes	16%	13	7%	4	20%	24	16%	41
Total	100%	79	100%	57	100%	122	100%	258

Pearson chi2(2) = 4.6816 Pr = 0.096								

Food								
No	49%	39	37%	21	37%	45	41%	105
Yes	51%	40	63%	36	63%	77	59%	153
Total	100%	79	100%	57	100%	122	100%	258

Pearson chi2(2) = 3.5460 Pr = 0.170								

Debt								
No	65%	51	56%	32	75%	91	67%	174
Yes	35%	28	44%	25	25%	31	33%	84
Total	100%	79	100%	57	100%	122	100%	258

Pearson chi2(2) = 6.4541 Pr = 0.040								

Gold								
No	99%	78	98%	56	100%	122	99%	256
Yes	1%	1	2%	1	0%	0	1%	2
Total	100%	79	100%	57	100%	122	100%	258

Pearson chi2(2) = 1.9109 Pr = 0.385								

Repairs								
No	71%	56	63%	36	75%	92	71%	184
Yes	29%	23	37%	21	25%	30	29%	74
Total	100%	79	100%	57	100%	122	100%	258

Pearson chi2(2) = 2.8613 Pr = 0.239								

School								
No	52%	41	49%	28	58%	71	54%	140
Yes	48%	38	51%	29	42%	51	46%	118
Total	100%	79	100%	57	100%	122	100%	258

Pearson chi2(2) = 1.5454 Pr = 0.462								

Medical								
No	95%	75	98%	56	98%	120	97%	251
Yes	5%	4	2%	1	2%	2	3%	7
Total	100%	79	100%	57	100%	122	100%	258

Pearson chi2(2) = 2.3845 Pr = 0.304								

Lobola								
No	94%	74	96%	55	96%	117	95%	246
Yes	6%	5	4%	2	4%	5	5%	12
Total	100%	79	100%	57	100%	122	100%	258

Pearson chi2(2) = 0.7533 Pr = 0.686								

Wedding								
No	96%	76	98%	56	98%	119	97%	251
Yes	4%	3	2%	1	2%	3	3%	7
Total	100%	79	100%	57	100%	122	100%	258

Pearson chi2(2) = 0.5802 Pr = 0.748								

Rent								
No	97%	77	100%	57	100%	122	99%	256
Yes	3%	2	0%	0	0%	0	1%	2
Total	100%	79	100%	57	100%	122	100%	258

Pearson chi2(2) = 4.5670 Pr = 0.102								

