	Gender					
	Female	Female	Male	Male	Total	Total
	%	N	%	N	%	N
Business						
No	96%	131	95%	116	96%	247
Yes	4%	5	5%	6	4%	11
Total	100%	136	100%	122	100%	258

Pearson chi2(1) = 0.2429 Pr = 0.622						

Funeral						
No	60%	82	64%	78	62%	160
Yes	40%	54	36%	44	38%	98
Total	100%	136	100%	122	100%	258

Pearson chi2(1) = 0.3618 Pr = 0.548						

House						
No	90%	123	91%	111	91%	234
Yes	10%	13	9%	11	9%	24
Total	100%	136	100%	122	100%	258

Pearson chi2(1) = 0.0224 Pr = 0.881						

Education						
No	49%	66	61%	74	54%	140
Yes	51%	70	39%	48	46%	118
Total	100%	136	100%	122	100%	258

Pearson chi2(1) = 3.8104 Pr = 0.051						

Emergency						
No	28%	38	31%	38	29%	76
Yes	72%	98	69%	84	71%	182
Total	100%	136	100%	122	100%	258

Pearson chi2(1) = 0.3182 Pr = 0.573						

Startup						
No	91%	124	94%	115	93%	239
Yes	9%	12	6%	7	7%	19
Total	100%	136	100%	122	100%	258

Pearson chi2(1) = 0.8977 Pr = 0.343						

Extend						
No	76%	103	80%	98	78%	201
Yes	24%	33	20%	24	22%	57
Total	100%	136	100%	122	100%	258

Pearson chi2(1) = 0.7881 Pr = 0.375						

Skills						
No	85%	116	83%	101	84%	217
Yes	15%	20	17%	21	16%	41
Total	100%	136	100%	122	100%	258

Pearson chi2(1) = 0.3025 Pr = 0.582						

Food						
No	40%	54	42%	51	41%	105
Yes	60%	82	58%	71	59%	153
Total	100%	136	100%	122	100%	258

Pearson chi2(1) = 0.1172 Pr = 0.732						

Debt						
No	60%	81	76%	93	67%	174
Yes	40%	55	24%	29	33%	84
Total	100%	136	100%	122	100%	258

Pearson chi2(1) = 8.1395 Pr = 0.004						

Gold						
No	99%	135	99%	121	99%	256
Yes	1%	1	1%	1	1%	2
Total	100%	136	100%	122	100%	258

Pearson chi2(1) = 0.0060 Pr = 0.939						

Repairs						
No	71%	96	72%	88	71%	184
Yes	29%	40	28%	34	29%	74
Total	100%	136	100%	122	100%	258

Pearson chi2(1) = 0.0748 Pr = 0.784						

School						
No	49%	67	60%	73	54%	140
Yes	51%	69	40%	49	46%	118
Total	100%	136	100%	122	100%	258

Pearson chi2(1) = 2.8958 Pr = 0.089						

Medical						
No	98%	133	97%	118	97%	251
Yes	2%	3	3%	4	3%	7
Total	100%	136	100%	122	100%	258

Pearson chi2(1) = 0.2804 Pr = 0.596						

Lobola						
No	100%	136	90%	110	95%	246
Yes	0%	0	10%	12	5%	12
Total	100%	136	100%	122	100%	258

Pearson chi2(1) = 14.0296 Pr = 0.000						

Wedding						
No	99%	135	95%	116	97%	251
Yes	1%	1	5%	6	3%	7
Total	100%	136	100%	122	100%	258

Pearson chi2(1) = 4.2625 Pr = 0.039						

Rent						
No	99%	135	99%	121	99%	256
Yes	1%	1	1%	1	1%	2
Total	100%	136	100%	122	100%	258

Pearson chi2(1) = 0.0060 Pr = 0.939						

