	What best describes your approach to life?													
Do you agree that on the whole you feel secure with the financial situation of y	Day To Day	Day To Day	Family	Family	Future	Future	Myself	Myself	Now	Now	Security	Security	Total	Total
	%	N	%	N	%	N	%	N	%	N	%	N	%	N
Strongly Disagree	23%	3	39%	117	14%	17	45%	20	67%	2	20%	9	32%	168
Disagree	15%	2	14%	43	27%	32	5%	2	33%	1	41%	18	19%	98
Neutral	8%	1	17%	52	15%	18	16%	7	0%	0	11%	5	16%	83
Agree	46%	6	24%	71	44%	53	27%	12	0%	0	25%	11	29%	153
Strongly Agree	0%	0	5%	16	0%	0	7%	3	0%	0	2%	1	4%	20
Dont Know	8%	1	0%	1	0%	0	0%	0	0%	0	0%	0	0%	2
Total	100%	13	100%	300	100%	120	100%	44	100%	3	100%	44	100%	524

Pearson chi2(25) = 90.3386 Pr = 0.000														

