	What is the highest grade in school that you have successfully completed?																											
Do you agree that on the whole you feel secure with the financial situation of y	0	0	1	1	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	10	11	11	12	12	Total	Total
	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N
Strongly Disagree	50%	6	43%	3	62%	5	100%	5	31%	4	40%	4	35%	6	50%	10	52%	12	25%	9	37%	22	34%	46	21%	38	32%	170
Disagree	17%	2	0%	0	0%	0	0%	0	23%	3	30%	3	24%	4	10%	2	13%	3	8%	3	15%	9	21%	28	23%	42	19%	99
Neutral	8%	1	14%	1	0%	0	0%	0	23%	3	10%	1	29%	5	5%	1	17%	4	19%	7	8%	5	15%	20	20%	36	16%	84
Agree	25%	3	14%	1	38%	3	0%	0	23%	3	20%	2	12%	2	25%	5	13%	3	39%	14	38%	23	28%	38	31%	56	29%	153
Strongly Agree	0%	0	29%	2	0%	0	0%	0	0%	0	0%	0	0%	0	10%	2	0%	0	8%	3	2%	1	2%	3	5%	9	4%	20
Dont Know	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	4%	1	0%	0	0%	0	0%	0	1%	1	0%	2
Total	100%	12	100%	7	100%	8	100%	5	100%	13	100%	10	100%	17	100%	20	100%	23	100%	36	100%	60	100%	135	100%	182	100%	528

Gamma = 0.1473 ASE = 0.046																												

