	What is your current employment status?																			
Do you agree that on the whole you feel secure with the financial situation of y	Full Formal	Full Formal	Full Informal	Full Informal	Part Formal	Part Formal	Part Informal	Part Informal	Pensioner	Pensioner	Self Formal	Self Formal	Self Informal	Self Informal	Student	Student	Unemployed	Unemployed	Total	Total
	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N
Strongly Disagree	10%	7	17%	6	16%	4	42%	11	24%	7	0%	0	50%	21	21%	9	43%	105	32%	170
Disagree	26%	19	23%	8	32%	8	15%	4	14%	4	23%	3	7%	3	24%	10	16%	40	19%	99
Neutral	15%	11	34%	12	12%	3	15%	4	10%	3	15%	2	14%	6	17%	7	15%	36	16%	84
Agree	43%	31	23%	8	36%	9	23%	6	48%	14	46%	6	21%	9	33%	14	23%	56	29%	153
Strongly Agree	6%	4	3%	1	4%	1	4%	1	0%	0	15%	2	5%	2	5%	2	3%	7	4%	20
Dont Know	0%	0	0%	0	0%	0	0%	0	3%	1	0%	0	2%	1	0%	0	0%	0	0%	2
Total	100%	72	100%	35	100%	25	100%	26	100%	29	100%	13	100%	42	100%	42	100%	244	100%	528

Pearson chi2(40) = 90.2224 Pr = 0.000																				

