	Approach to Life									
Do you agree that on the whole you feel secure with the financial situation of y	Live day by day	Live day by day	I plan for the future	I plan for the future	Stability and security is everything	Stability and security is everything	I live for my family	I live for my family	Total	Total
	%	N	%	N	%	N	%	N	%	N
Strongly Disagree	42%	25	14%	17	20%	9	39%	117	32%	168
Disagree	8%	5	27%	32	41%	18	14%	43	19%	98
Neutral	13%	8	15%	18	11%	5	17%	52	16%	83
Agree	30%	18	44%	53	25%	11	24%	71	29%	153
Strongly Agree	5%	3	0%	0	2%	1	5%	16	4%	20
Dont Know	2%	1	0%	0	0%	0	0%	1	0%	2
Total	100%	60	100%	120	100%	44	100%	300	100%	524

Pearson chi2(15) = 66.2728 Pr = 0.000										

