	Age							
	18-29	18-29	30-39	30-39	40+	40+	Total	Total
	%	N	%	N	%	N	%	N
Receive								
No	1%	1	0%	0	0%	0	0%	1
Yes	99%	181	100%	126	100%	176	100%	483
Total	100%	182	100%	126	100%	176	100%	484

Pearson chi2(2) = 1.6628 Pr = 0.435								

Airtime								
No	36%	66	37%	47	43%	75	39%	188
Yes	64%	116	63%	79	57%	101	61%	296
Total	100%	182	100%	126	100%	176	100%	484

Pearson chi2(2) = 1.6891 Pr = 0.430								

Facebook								
No	51%	92	71%	90	93%	163	71%	345
Yes	49%	90	29%	36	7%	13	29%	139
Total	100%	182	100%	126	100%	176	100%	484

Pearson chi2(2) = 77.3380 Pr = 0.000								

Twitter								
No	91%	166	93%	117	98%	173	94%	456
Yes	9%	16	7%	9	2%	3	6%	28
Total	100%	182	100%	126	100%	176	100%	484

Pearson chi2(2) = 8.8204 Pr = 0.012								

Bbm								
No	91%	166	87%	110	97%	170	92%	446
Yes	9%	16	13%	16	3%	6	8%	38
Total	100%	182	100%	126	100%	176	100%	484

Pearson chi2(2) = 9.1144 Pr = 0.010								

Email								
No	74%	135	72%	91	94%	166	81%	392
Yes	26%	47	28%	35	6%	10	19%	92
Total	100%	182	100%	126	100%	176	100%	484

Pearson chi2(2) = 32.0891 Pr = 0.000								

Internet								
No	66%	120	75%	95	98%	173	80%	388
Yes	34%	62	25%	31	2%	3	20%	96
Total	100%	182	100%	126	100%	176	100%	484

Pearson chi2(2) = 61.3669 Pr = 0.000								

Money								
No	81%	148	82%	103	90%	159	85%	410
Yes	19%	34	18%	23	10%	17	15%	74
Total	100%	182	100%	126	100%	176	100%	484

Pearson chi2(2) = 6.7795 Pr = 0.034								

Pay								
No	97%	176	92%	116	98%	172	96%	464
Yes	3%	6	8%	10	2%	4	4%	20
Total	100%	182	100%	126	100%	176	100%	484

Pearson chi2(2) = 6.4601 Pr = 0.040								

Sms								
No	1%	2	3%	4	19%	34	8%	40
Yes	99%	180	97%	122	81%	142	92%	444
Total	100%	182	100%	126	100%	176	100%	484

Pearson chi2(2) = 44.9961 Pr = 0.000								

Mxit								
No	74%	135	92%	116	100%	176	88%	427
Yes	26%	47	8%	10	0%	0	12%	57
Total	100%	182	100%	126	100%	176	100%	484

Pearson chi2(2) = 59.8485 Pr = 0.000								

Whatsapp								
No	59%	108	59%	74	89%	157	70%	339
Yes	41%	74	41%	52	11%	19	30%	145
Total	100%	182	100%	126	100%	176	100%	484

Pearson chi2(2) = 48.4157 Pr = 0.000								

