	What best describes your approach to life?													
	Day To Day	Day To Day	Family	Family	Future	Future	Myself	Myself	Now	Now	Security	Security	Total	Total
	%	N	%	N	%	N	%	N	%	N	%	N	%	N
Receive														
No	0%	0	0%	0	0%	0	3%	1	0%	0	0%	0	0%	1
Yes	100%	11	100%	278	100%	110	97%	37	100%	3	100%	40	100%	479
Total	100%	11	100%	278	100%	110	100%	38	100%	3	100%	40	100%	480

Pearson chi2(5) = 11.6559 Pr = 0.040														

Airtime														
No	36%	4	31%	87	56%	62	21%	8	67%	2	57%	23	39%	186
Yes	64%	7	69%	191	44%	48	79%	30	33%	1	42%	17	61%	294
Total	100%	11	100%	278	100%	110	100%	38	100%	3	100%	40	100%	480

Pearson chi2(5) = 32.8391 Pr = 0.000														

Facebook														
No	45%	5	79%	221	57%	63	63%	24	33%	1	72%	29	71%	343
Yes	55%	6	21%	57	43%	47	37%	14	67%	2	28%	11	29%	137
Total	100%	11	100%	278	100%	110	100%	38	100%	3	100%	40	100%	480

Pearson chi2(5) = 26.7499 Pr = 0.000														

Twitter														
No	82%	9	96%	268	93%	102	95%	36	67%	2	90%	36	94%	453
Yes	18%	2	4%	10	7%	8	5%	2	33%	1	10%	4	6%	27
Total	100%	11	100%	278	100%	110	100%	38	100%	3	100%	40	100%	480

Pearson chi2(5) = 11.7736 Pr = 0.038														

Bbm														
No	82%	9	96%	266	86%	95	95%	36	33%	1	88%	35	92%	442
Yes	18%	2	4%	12	14%	15	5%	2	67%	2	12%	5	8%	38
Total	100%	11	100%	278	100%	110	100%	38	100%	3	100%	40	100%	480

Pearson chi2(5) = 27.1928 Pr = 0.000														

Email														
No	36%	4	87%	242	72%	79	82%	31	67%	2	78%	31	81%	389
Yes	64%	7	13%	36	28%	31	18%	7	33%	1	22%	9	19%	91
Total	100%	11	100%	278	100%	110	100%	38	100%	3	100%	40	100%	480

Pearson chi2(5) = 27.6521 Pr = 0.000														

Internet														
No	45%	5	86%	238	71%	78	84%	32	67%	2	75%	30	80%	385
Yes	55%	6	14%	40	29%	32	16%	6	33%	1	25%	10	20%	95
Total	100%	11	100%	278	100%	110	100%	38	100%	3	100%	40	100%	480

Pearson chi2(5) = 20.8877 Pr = 0.001														

Money														
No	82%	9	81%	225	94%	103	84%	32	67%	2	88%	35	85%	406
Yes	18%	2	19%	53	6%	7	16%	6	33%	1	12%	5	15%	74
Total	100%	11	100%	278	100%	110	100%	38	100%	3	100%	40	100%	480

Pearson chi2(5) = 10.8189 Pr = 0.055														

Pay														
No	91%	10	95%	264	99%	109	97%	37	100%	3	92%	37	96%	460
Yes	9%	1	5%	14	1%	1	3%	1	0%	0	8%	3	4%	20
Total	100%	11	100%	278	100%	110	100%	38	100%	3	100%	40	100%	480

Pearson chi2(5) = 5.5852 Pr = 0.349														

Sms														
No	0%	0	12%	34	0%	0	8%	3	0%	0	8%	3	8%	40
Yes	100%	11	88%	244	100%	110	92%	35	100%	3	92%	37	92%	440
Total	100%	11	100%	278	100%	110	100%	38	100%	3	100%	40	100%	480

Pearson chi2(5) = 16.8451 Pr = 0.005														

Mxit														
No	64%	7	93%	259	81%	89	79%	30	100%	3	90%	36	88%	424
Yes	36%	4	7%	19	19%	21	21%	8	0%	0	10%	4	12%	56
Total	100%	11	100%	278	100%	110	100%	38	100%	3	100%	40	100%	480

Pearson chi2(5) = 22.4449 Pr = 0.000														

Whatsapp														
No	64%	7	78%	216	55%	60	63%	24	33%	1	72%	29	70%	337
Yes	36%	4	22%	62	45%	50	37%	14	67%	2	28%	11	30%	143
Total	100%	11	100%	278	100%	110	100%	38	100%	3	100%	40	100%	480

Pearson chi2(5) = 23.5382 Pr = 0.000														

