	What is the highest grade in school that you have successfully completed?																											
	0	0	1	1	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	10	11	11	12	12	Total	Total
	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N	%	N
Receive																												
No	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	1%	1	0%	0	0%	1
Yes	100%	9	100%	4	100%	7	100%	4	100%	11	100%	8	100%	17	100%	17	100%	21	100%	32	100%	51	99%	126	100%	176	100%	483
Total	100%	9	100%	4	100%	7	100%	4	100%	11	100%	8	100%	17	100%	17	100%	21	100%	32	100%	51	100%	127	100%	176	100%	484

Pearson chi2(12) = 2.8168 Pr = 0.997																												

Airtime																												
No	78%	7	50%	2	43%	3	25%	1	45%	5	50%	4	65%	11	35%	6	24%	5	38%	12	49%	25	39%	49	33%	58	39%	188
Yes	22%	2	50%	2	57%	4	75%	3	55%	6	50%	4	35%	6	65%	11	76%	16	62%	20	51%	26	61%	78	67%	118	61%	296
Total	100%	9	100%	4	100%	7	100%	4	100%	11	100%	8	100%	17	100%	17	100%	21	100%	32	100%	51	100%	127	100%	176	100%	484

Pearson chi2(12) = 18.6398 Pr = 0.098																												

Facebook																												
No	100%	9	100%	4	100%	7	75%	3	91%	10	100%	8	100%	17	94%	16	86%	18	94%	30	84%	43	74%	94	49%	86	71%	345
Yes	0%	0	0%	0	0%	0	25%	1	9%	1	0%	0	0%	0	6%	1	14%	3	6%	2	16%	8	26%	33	51%	90	29%	139
Total	100%	9	100%	4	100%	7	100%	4	100%	11	100%	8	100%	17	100%	17	100%	21	100%	32	100%	51	100%	127	100%	176	100%	484

Pearson chi2(12) = 82.4882 Pr = 0.000																												

Twitter																												
No	100%	9	100%	4	100%	7	100%	4	100%	11	100%	8	100%	17	94%	16	100%	21	100%	32	100%	51	97%	123	87%	153	94%	456
Yes	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	6%	1	0%	0	0%	0	0%	0	3%	4	13%	23	6%	28
Total	100%	9	100%	4	100%	7	100%	4	100%	11	100%	8	100%	17	100%	17	100%	21	100%	32	100%	51	100%	127	100%	176	100%	484

Pearson chi2(12) = 28.8170 Pr = 0.004																												

Bbm																												
No	100%	9	100%	4	100%	7	100%	4	100%	11	100%	8	100%	17	100%	17	100%	21	100%	32	100%	51	94%	120	82%	145	92%	446
Yes	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	6%	7	18%	31	8%	38
Total	100%	9	100%	4	100%	7	100%	4	100%	11	100%	8	100%	17	100%	17	100%	21	100%	32	100%	51	100%	127	100%	176	100%	484

Pearson chi2(12) = 39.5667 Pr = 0.000																												

Email																												
No	100%	9	100%	4	86%	6	100%	4	100%	11	100%	8	100%	17	100%	17	100%	21	91%	29	96%	49	84%	107	62%	110	81%	392
Yes	0%	0	0%	0	14%	1	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	9%	3	4%	2	16%	20	38%	66	19%	92
Total	100%	9	100%	4	100%	7	100%	4	100%	11	100%	8	100%	17	100%	17	100%	21	100%	32	100%	51	100%	127	100%	176	100%	484

Pearson chi2(12) = 70.8961 Pr = 0.000																												

Internet																												
No	100%	9	100%	4	100%	7	100%	4	100%	11	100%	8	100%	17	100%	17	95%	20	94%	30	88%	45	83%	106	62%	110	80%	388
Yes	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	5%	1	6%	2	12%	6	17%	21	38%	66	20%	96
Total	100%	9	100%	4	100%	7	100%	4	100%	11	100%	8	100%	17	100%	17	100%	21	100%	32	100%	51	100%	127	100%	176	100%	484

Pearson chi2(12) = 63.2658 Pr = 0.000																												

Money																												
No	100%	9	100%	4	86%	6	100%	4	100%	11	88%	7	88%	15	94%	16	81%	17	78%	25	88%	45	87%	110	80%	141	85%	410
Yes	0%	0	0%	0	14%	1	0%	0	0%	0	12%	1	12%	2	6%	1	19%	4	22%	7	12%	6	13%	17	20%	35	15%	74
Total	100%	9	100%	4	100%	7	100%	4	100%	11	100%	8	100%	17	100%	17	100%	21	100%	32	100%	51	100%	127	100%	176	100%	484

Pearson chi2(12) = 11.4486 Pr = 0.491																												

Pay																												
No	100%	9	100%	4	86%	6	100%	4	100%	11	100%	8	94%	16	100%	17	100%	21	100%	32	100%	51	97%	123	92%	162	96%	464
Yes	0%	0	0%	0	14%	1	0%	0	0%	0	0%	0	6%	1	0%	0	0%	0	0%	0	0%	0	3%	4	8%	14	4%	20
Total	100%	9	100%	4	100%	7	100%	4	100%	11	100%	8	100%	17	100%	17	100%	21	100%	32	100%	51	100%	127	100%	176	100%	484

Pearson chi2(12) = 15.5208 Pr = 0.214																												

Sms																												
No	33%	3	25%	1	14%	1	100%	4	55%	6	38%	3	29%	5	18%	3	19%	4	9%	3	4%	2	2%	3	1%	2	8%	40
Yes	67%	6	75%	3	86%	6	0%	0	45%	5	62%	5	71%	12	82%	14	81%	17	91%	29	96%	49	98%	124	99%	174	92%	444
Total	100%	9	100%	4	100%	7	100%	4	100%	11	100%	8	100%	17	100%	17	100%	21	100%	32	100%	51	100%	127	100%	176	100%	484

Pearson chi2(12) = 127.9436 Pr = 0.000																												

Mxit																												
No	100%	9	100%	4	100%	7	100%	4	100%	11	100%	8	100%	17	100%	17	95%	20	94%	30	88%	45	88%	112	81%	143	88%	427
Yes	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	0%	0	5%	1	6%	2	12%	6	12%	15	19%	33	12%	57
Total	100%	9	100%	4	100%	7	100%	4	100%	11	100%	8	100%	17	100%	17	100%	21	100%	32	100%	51	100%	127	100%	176	100%	484

Pearson chi2(12) = 20.4510 Pr = 0.059																												

Whatsapp																												
No	100%	9	100%	4	100%	7	100%	4	91%	10	100%	8	100%	17	88%	15	86%	18	88%	28	88%	45	71%	90	48%	84	70%	339
Yes	0%	0	0%	0	0%	0	0%	0	9%	1	0%	0	0%	0	12%	2	14%	3	12%	4	12%	6	29%	37	52%	92	30%	145
Total	100%	9	100%	4	100%	7	100%	4	100%	11	100%	8	100%	17	100%	17	100%	21	100%	32	100%	51	100%	127	100%	176	100%	484

Pearson chi2(12) = 82.8796 Pr = 0.000																												

