	Employment							
	Formal	Formal	Informal	Informal	Unemployed	Unemployed	Total	Total
	%	N	%	N	%	N	%	N
Receive								
No	0%	0	0%	0	0%	1	0%	1
Yes	100%	107	100%	100	100%	276	100%	483
Total	100%	107	100%	100	100%	277	100%	484

Pearson chi2(2) = 0.7488 Pr = 0.688								

Airtime								
No	38%	41	34%	34	41%	113	39%	188
Yes	62%	66	66%	66	59%	164	61%	296
Total	100%	107	100%	100	100%	277	100%	484

Pearson chi2(2) = 1.4437 Pr = 0.486								

Facebook								
No	60%	64	80%	80	73%	201	71%	345
Yes	40%	43	20%	20	27%	76	29%	139
Total	100%	107	100%	100	100%	277	100%	484

Pearson chi2(2) = 10.8100 Pr = 0.004								

Twitter								
No	89%	95	97%	97	95%	264	94%	456
Yes	11%	12	3%	3	5%	13	6%	28
Total	100%	107	100%	100	100%	277	100%	484

Pearson chi2(2) = 7.8171 Pr = 0.020								

Bbm								
No	82%	88	94%	94	95%	264	92%	446
Yes	18%	19	6%	6	5%	13	8%	38
Total	100%	107	100%	100	100%	277	100%	484

Pearson chi2(2) = 18.8045 Pr = 0.000								

Email								
No	63%	67	90%	90	85%	235	81%	392
Yes	37%	40	10%	10	15%	42	19%	92
Total	100%	107	100%	100	100%	277	100%	484

Pearson chi2(2) = 31.3989 Pr = 0.000								

Internet								
No	65%	70	90%	90	82%	228	80%	388
Yes	35%	37	10%	10	18%	49	20%	96
Total	100%	107	100%	100	100%	277	100%	484

Pearson chi2(2) = 21.5146 Pr = 0.000								

Money								
No	79%	85	91%	91	84%	234	85%	410
Yes	21%	22	9%	9	16%	43	15%	74
Total	100%	107	100%	100	100%	277	100%	484

Pearson chi2(2) = 5.3615 Pr = 0.069								

Pay								
No	91%	97	98%	98	97%	269	96%	464
Yes	9%	10	2%	2	3%	8	4%	20
Total	100%	107	100%	100	100%	277	100%	484

Pearson chi2(2) = 9.5717 Pr = 0.008								

Sms								
No	1%	1	12%	12	10%	27	8%	40
Yes	99%	106	88%	88	90%	250	92%	444
Total	100%	107	100%	100	100%	277	100%	484

Pearson chi2(2) = 10.2267 Pr = 0.006								

Mxit								
No	93%	99	96%	96	84%	232	88%	427
Yes	7%	8	4%	4	16%	45	12%	57
Total	100%	107	100%	100	100%	277	100%	484

Pearson chi2(2) = 13.0491 Pr = 0.001								

Whatsapp								
No	49%	52	71%	71	78%	216	70%	339
Yes	51%	55	29%	29	22%	61	30%	145
Total	100%	107	100%	100	100%	277	100%	484

Pearson chi2(2) = 31.8068 Pr = 0.000								

