	Gender					
	Female	Female	Male	Male	Total	Total
	%	N	%	N	%	N
Receive						
No	0%	1	0%	0	0%	1
Yes	100%	277	100%	206	100%	483
Total	100%	278	100%	206	100%	484

Pearson chi2(1) = 0.7425 Pr = 0.389						

Airtime						
No	36%	100	43%	88	39%	188
Yes	64%	178	57%	118	61%	296
Total	100%	278	100%	206	100%	484

Pearson chi2(1) = 2.2676 Pr = 0.132						

Facebook						
No	72%	200	70%	145	71%	345
Yes	28%	78	30%	61	29%	139
Total	100%	278	100%	206	100%	484

Pearson chi2(1) = 0.1396 Pr = 0.709						

Twitter						
No	95%	265	93%	191	94%	456
Yes	5%	13	7%	15	6%	28
Total	100%	278	100%	206	100%	484

Pearson chi2(1) = 1.4735 Pr = 0.225						

Bbm						
No	94%	260	90%	186	92%	446
Yes	6%	18	10%	20	8%	38
Total	100%	278	100%	206	100%	484

Pearson chi2(1) = 1.7104 Pr = 0.191						

Email						
No	85%	236	76%	156	81%	392
Yes	15%	42	24%	50	19%	92
Total	100%	278	100%	206	100%	484

Pearson chi2(1) = 6.4543 Pr = 0.011						

Internet						
No	81%	225	79%	163	80%	388
Yes	19%	53	21%	43	20%	96
Total	100%	278	100%	206	100%	484

Pearson chi2(1) = 0.2435 Pr = 0.622						

Money						
No	86%	238	83%	172	85%	410
Yes	14%	40	17%	34	15%	74
Total	100%	278	100%	206	100%	484

Pearson chi2(1) = 0.4092 Pr = 0.522						

Pay						
No	97%	269	95%	195	96%	464
Yes	3%	9	5%	11	4%	20
Total	100%	278	100%	206	100%	484

Pearson chi2(1) = 1.3202 Pr = 0.251						

Sms						
No	10%	27	6%	13	8%	40
Yes	90%	251	94%	193	92%	444
Total	100%	278	100%	206	100%	484

Pearson chi2(1) = 1.8058 Pr = 0.179						

Mxit						
No	87%	243	89%	184	88%	427
Yes	13%	35	11%	22	12%	57
Total	100%	278	100%	206	100%	484

Pearson chi2(1) = 0.4156 Pr = 0.519						

Whatsapp						
No	68%	189	73%	150	70%	339
Yes	32%	89	27%	56	30%	145
Total	100%	278	100%	206	100%	484

Pearson chi2(1) = 1.3154 Pr = 0.251						

